latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
19.40056,-155.2914,339,0.53,0.5,2025-07-04,5,N,VIIRS,l,2.0NRT,312.01,9.84,D
19.40521,-155.29201,343.22,0.53,0.5,2025-07-04,5,N,VIIRS,l,2.0NRT,313.63,9.84,D
19.40583,-155.28664,356.5,0.53,0.5,2025-07-04,5,N,VIIRS,n,2.0NRT,325.79,9.84,D
19.40643,-155.28145,346.37,0.53,0.5,2025-07-04,5,N,VIIRS,l,2.0NRT,319.43,13.73,D
19.40703,-155.27632,345.66,0.53,0.5,2025-07-04,5,N,VIIRS,l,2.0NRT,319.44,13.73,D
19.40762,-155.27122,348.45,0.53,0.5,2025-07-04,5,N,VIIRS,l,2.0NRT,319.51,18.47,D
19.41047,-155.28741,346.04,0.53,0.5,2025-07-04,5,N,VIIRS,n,2.0NRT,318.71,12.29,D
19.41108,-155.28214,346.59,0.53,0.5,2025-07-04,5,N,VIIRS,l,2.0NRT,319.37,23.96,D
19.41228,-155.27176,350.6,0.53,0.5,2025-07-04,5,N,VIIRS,n,2.0NRT,318.72,20.89,D
64.73661,-148.84599,367,0.78,0.78,2025-07-04,18,N,VIIRS,h,2.0NRT,291.46,20.79,D
64.73756,-148.83746,353.41,0.78,0.78,2025-07-04,18,N,VIIRS,n,2.0NRT,289.32,13.39,D
64.73859,-148.85329,336.59,0.78,0.78,2025-07-04,18,N,VIIRS,n,2.0NRT,288.6,13.39,D
64.7668,-148.66833,367,0.79,0.78,2025-07-04,18,N,VIIRS,h,2.0NRT,293.14,15.96,D
64.76849,-148.65477,347.45,0.79,0.78,2025-07-04,18,N,VIIRS,n,2.0NRT,289.83,18.35,D
64.76967,-148.67206,367,0.79,0.78,2025-07-04,18,N,VIIRS,h,2.0NRT,290.66,18.35,D
64.77405,-148.6647,344.41,0.79,0.78,2025-07-04,18,N,VIIRS,n,2.0NRT,288.26,15.96,D
65.23399,-153.44179,333.2,0.58,0.69,2025-07-04,18,N,VIIRS,n,2.0NRT,296.15,6.72,D
65.23808,-153.44843,342.8,0.58,0.69,2025-07-04,18,N,VIIRS,n,2.0NRT,295.28,10.83,D
65.24062,-153.44328,344.42,0.58,0.69,2025-07-04,18,N,VIIRS,n,2.0NRT,295.4,6.72,D
65.2449,-153.45486,367,0.58,0.69,2025-07-04,18,N,VIIRS,h,2.0NRT,296.94,15.48,D
65.24739,-153.44958,343.76,0.58,0.69,2025-07-04,18,N,VIIRS,n,2.0NRT,293.62,8.67,D
65.26961,-150.21292,337.35,0.71,0.75,2025-07-04,18,N,VIIRS,n,2.0NRT,292.16,6.48,D
65.2858,-150.21194,325.96,0.71,0.75,2025-07-04,18,N,VIIRS,n,2.0NRT,291.53,3.45,D
65.36199,-152.86737,331.84,0.6,0.7,2025-07-04,18,N,VIIRS,n,2.0NRT,293.74,5.69,D
65.40106,-152.77118,355.04,0.6,0.71,2025-07-04,18,N,VIIRS,n,2.0NRT,297.81,10.22,D
65.48858,-150.32504,329.57,0.7,0.75,2025-07-04,18,N,VIIRS,n,2.0NRT,293.81,8.34,D
65.49104,-150.32739,335,0.7,0.75,2025-07-04,18,N,VIIRS,n,2.0NRT,294.39,6.24,D
65.49195,-150.34297,325.31,0.7,0.75,2025-07-04,18,N,VIIRS,l,2.0NRT,295.81,6.24,D
65.4929,-150.35883,325.92,0.7,0.75,2025-07-04,18,N,VIIRS,n,2.0NRT,293.95,5.44,D
65.49649,-150.33871,330.61,0.7,0.75,2025-07-04,18,N,VIIRS,n,2.0NRT,295.05,8.34,D
65.49717,-150.31015,328.66,0.7,0.75,2025-07-04,18,N,VIIRS,n,2.0NRT,295.33,9.46,D
65.49899,-150.34117,325.81,0.7,0.75,2025-07-04,18,N,VIIRS,n,2.0NRT,293.81,6.24,D
